线路,设备类别,设备部件,缺陷内容,参考缺陷等级,处理措施
线路0,架空线路1,通道,导线对交跨物安全距离不满足Q/GDW519—2010《配电网运行规程》规定要求,重度：危急缺陷,demo措施1
线路0,配电变压器,绕组及套管,套管略有破损,轻度；一般缺陷,demo措施2
线路0,配电变压器,绕组及套管,套管外壳有裂纹（撕裂）或破损,中度：严重缺陷,demo措施3
线路0,配电变压器,绕组及套管,套管严重破损,重度：危急缺陷,demo措施4
线路0,配电变压器,绕组及套管,套管污秽较严重（户内、户外变）,轻度：一般缺陷,demo措施5
线路0,配电变压器,绕组及套管,套管污秽严重，雾天（阴雨天）有明显放电（户外变）；有明显放电痕迹（户内变）,中度：严重缺陷,demo措施6
线路0,配电变压器,绕组及套管,套管有严重放电（户外变）；有严重放电痕迹（户内变）,重度：危急缺陷,demo措施7
线路0,配电变压器,绕组及套管,套管明显渗油,轻度：一般缺陷,demo措施8
线路0,配电变压器,绕组及套管,套管严重渗油,中度：严重缺陷,demo措施9
线路0,配电变压器,绕组及套管,套管漏油（滴油）,重度：危急缺陷,demo措施10
线路0,配电变压器,分接开关,干式变压器器身温度超出厂家允许值的10%,轻度：一般缺陷,demo措施11
线路1,配电变压器,分接开关,干式变压器器身温度超出厂家允许值的20%,中度：严重缺陷,demo措施12
